title,channel,timestamp,date,hour,day_of_week,is_short,label,pred_class,brainrot_proba
Garp is Roger's #1 Hater... or friend?🤣,The Anime Gang,2026-04-04 05:09:52.748000+00:00,2026-04-04,5,Saturday,0,brainrot,brainrot,0.8263138165140087
This gift is better that ipad😍❤️ #shorts #shortsfeed #ytshorts #trending #viral #cute #newyoutuber,Amir visions,2026-04-04 05:09:34.015000+00:00,2026-04-04,5,Saturday,1,brainrot,brainrot,0.9728973127432557
Stop Using Fake Brick Physics!,Peanar,2026-04-04 05:09:25.365000+00:00,2026-04-04,5,Saturday,0,healthy,healthy,0.20522669968545038
That’s what happens when Luffy gets mad😤 #onepiece #luffy,Ajw Battle YT,2026-04-04 05:09:01.630000+00:00,2026-04-04,5,Saturday,0,brainrot,brainrot,0.8400312494138482
the BEST minecraft transport method is now sulfur cubes???  #minecraft,highkeyhateme,2026-04-04 05:08:06.284000+00:00,2026-04-04,5,Saturday,0,brainrot,brainrot,0.7973934963542619
Kaash Plays Dare Challenge gone wrong! 😭💀 #shorts,Neon Man Shorts,2026-04-04 05:07:41.827000+00:00,2026-04-04,5,Saturday,1,brainrot,brainrot,0.9700360074855103
Indian Cricket Fans Toxicity called out by Ashish Chanchlani! 😳 #shorts,Neon Man Shorts,2026-04-04 05:07:39.762000+00:00,2026-04-04,5,Saturday,1,brainrot,brainrot,0.9173552940638251
Every Man for their Woman! 🔥❤️✨🙌🏻,Arjun Pandey,2026-04-04 05:05:49.643000+00:00,2026-04-04,5,Saturday,0,healthy,healthy,0.12795340819410375
Some Stories are Completed in the most Unfinished way! Huge Respect Raghu Dada! 🙌🏻🫡 #cricket,Arjun Pandey,2026-04-04 05:05:49.301000+00:00,2026-04-04,5,Saturday,0,healthy,healthy,0.2110277766915882
EVERY STUDENT MUST WATCH 🔥🔥🔥🔥🔥 End Your Depression Sketch!  💔,Arjun Pandey,2026-04-04 05:04:12.012000+00:00,2026-04-04,5,Saturday,0,healthy,healthy,0.22190178415629905
Only Luffy and Roger can make Rayleigh this MAD🤣,The Anime Gang,2026-04-04 05:02:46.424000+00:00,2026-04-04,5,Saturday,0,brainrot,brainrot,0.7665547358590737
“I’m Very Much A Bangalore Girl With A British Accent”,Nikhil Kamath,2026-04-04 05:02:38.741000+00:00,2026-04-04,5,Saturday,0,healthy,healthy,0.2811006586545451
Zoro was proud 😊,ɪᴄʏ ᴘɪxɪᴇ,2026-04-04 04:46:15.387000+00:00,2026-04-04,4,Saturday,0,brainrot,brainrot,0.7625732218796204
The Moment Sanji RealiseHe Can See Nami Growing || Aura Moment 🔥 #shorts #anime #onepiece,TSG AE,2026-04-04 04:45:50.057000+00:00,2026-04-04,4,Saturday,1,brainrot,brainrot,0.9276760842227372
Zoro really made Luffy look smart💀,The Anime Gang,2026-04-04 04:44:42.039000+00:00,2026-04-04,4,Saturday,0,brainrot,brainrot,0.8548299263174582
Ab Nora Bhi Academy Me 😂 I Newtons law #ashusir #scienceandfun #experiment #ytshorts #shorts,Science and fun,2026-04-04 04:44:29.717000+00:00,2026-04-04,4,Saturday,1,brainrot,brainrot,0.6072289550245329
Kya yeh fail mana jayga ya paas ? I Science experiment #shorts #physics #experiment #ashusir,Science and fun,2026-04-04 04:42:02.292000+00:00,2026-04-04,4,Saturday,1,brainrot,healthy,0.3132591557447612
I Tried A Snapdragon Laptop for 7 Months!,TechWiser,2026-04-04 04:32:07.455000+00:00,2026-04-04,4,Saturday,0,brainrot,healthy,0.4774886683572812
Goku Asks For Luffy’s Help!,ariki Anime,2026-04-04 04:05:06.193000+00:00,2026-04-04,4,Saturday,0,brainrot,brainrot,0.7313478410492509
Liking wants. Loving cares. #motivation #storytelling #relatable #love #shorts #motivationalvideo,Ayush Jilewa,2026-04-04 04:05:05.649000+00:00,2026-04-04,4,Saturday,1,brainrot,brainrot,0.8539436061964999
reality of india,doomworships,2026-04-04 04:04:04.785000+00:00,2026-04-04,4,Saturday,0,brainrot,brainrot,0.7797495961502768
Roger Pirates Had One Day Fight Straw Hats Daily😂 #onepiece #strawhats #rogerpirates #goldroger,Ajw Battle YT,2026-04-04 04:03:40.215000+00:00,2026-04-04,4,Saturday,0,brainrot,brainrot,0.7165932326691625
Python Developer bugfixing style😆 #python #developer #snake #bugfixing #memes #foryou #developerlife,Coding Builder,2026-04-04 04:03:28.779000+00:00,2026-04-04,4,Saturday,0,brainrot,brainrot,0.5774719402086415
🥺 #emotional #bebrave #lifequotes #lifelessons #beingstrong #bematured #bekind #strongwomen #foryou,Blood Village,2026-04-04 03:57:57.475000+00:00,2026-04-04,3,Saturday,0,brainrot,brainrot,0.8579588375717558
Ekaki Better than Dhurandhar 2? Ashish Chanchlani Reacts! 😭 #shorts,Neon Man Shorts,2026-04-04 03:57:17.476000+00:00,2026-04-04,3,Saturday,1,brainrot,brainrot,0.9081971178815592
Buggy solved whats connection between Rayleigh and luffy🤣#shorts#onepiece,Joyboy,2026-04-04 03:55:35.111000+00:00,2026-04-04,3,Saturday,1,brainrot,brainrot,0.9420354536048797
3 times Luffy outsmarted everyone,Piece Sign,2026-04-04 03:54:40.343000+00:00,2026-04-04,3,Saturday,0,brainrot,brainrot,0.7262832338320576
Marine didn't catch Roger ☄️ | ONE PIECE,noobie senpai,2026-04-04 03:53:48.488000+00:00,2026-04-04,3,Saturday,0,healthy,healthy,0.1000179416486298
RIZZ BOY KA JOB INTERVIEW | Yash Lalwani #shorts #rizzboy #rizz,Yash Lalwani,2026-04-04 03:52:03.625000+00:00,2026-04-04,3,Saturday,1,brainrot,brainrot,0.9297802328854123
Response To: What If Dhruv Rathee Became PM For 1 Day?  | #shorts,The Sham Sharma Show,2026-04-04 03:51:41.548000+00:00,2026-04-04,3,Saturday,1,healthy,healthy,0.26915817482013893
He Finally Won His Family Back 😍 Little By Little,zsy,2026-04-04 03:50:47.855000+00:00,2026-04-04,3,Saturday,0,brainrot,brainrot,0.7600015960692024
Everything is okay unit it’s your car #milele #cars #africa #dubai,Fahad Riaz,2026-04-04 03:50:32.332000+00:00,2026-04-04,3,Saturday,0,brainrot,brainrot,0.6775626219431052
The Offering Not Meant for Humans | Mystery of Jagannath Rath Yatra,Lord Shiva,2026-04-04 03:50:16.366000+00:00,2026-04-04,3,Saturday,0,brainrot,brainrot,0.7470199974917785
The best arguments of mother father #shorts #viral #trending #video,Jaya dobriyal,2026-04-04 03:49:24.783000+00:00,2026-04-04,3,Saturday,1,brainrot,brainrot,0.9283109682465075
#luckygameplay,CringeMC,2026-04-04 03:49:09.649000+00:00,2026-04-04,3,Saturday,0,brainrot,brainrot,0.6662998815297424
All parents Want this happiness,Mr. Review,2026-04-04 03:49:01.688000+00:00,2026-04-04,3,Saturday,0,brainrot,brainrot,0.6524259355535099
Robin was unstoppable at 18,Piece Sign,2026-04-04 03:48:19.239000+00:00,2026-04-04,3,Saturday,0,brainrot,brainrot,0.5389618300083225
"Robin tried flirting with Law, it almost worked",Piece Sign,2026-04-04 03:47:40.427000+00:00,2026-04-04,3,Saturday,0,brainrot,brainrot,0.5171357099668227
Crores of money saved #shorts #agriculture #farming #education #infotainment,Satirical Citizen,2026-04-04 03:47:29.900000+00:00,2026-04-04,3,Saturday,1,brainrot,brainrot,0.8933754787977897
Timmy Turner: The Art of Not Caring.,GROWTH™,2026-04-04 03:46:25.344000+00:00,2026-04-04,3,Saturday,0,brainrot,brainrot,0.710624770928725
GenZ Employees 😨😨…#thugesh #comedy #genz #genzhumor,Mahesh Keshwala,2026-04-04 03:45:49.048000+00:00,2026-04-04,3,Saturday,0,brainrot,brainrot,0.7944035701132918
Not every ending gets a farewell. Some just quietly end #storytelling #cricketlover #emtionalstory,Ayush Jilewa,2026-04-04 03:45:30.573000+00:00,2026-04-04,3,Saturday,0,brainrot,brainrot,0.686684930865851
Even After Giving Outstanding Performance In Dhurandhar Why Did Arjun Rampal apologise #arjunrampal,It’s Unscripted With Sonia,2026-04-04 03:45:28.350000+00:00,2026-04-04,3,Saturday,0,healthy,healthy,0.22428207408396006
Some one piece characters ages make their moments awkward,AMVEXIA,2026-04-04 03:44:52.398000+00:00,2026-04-04,3,Saturday,0,brainrot,brainrot,0.5791803544999019
India's Best Biryani?? Ft.@FarahKhanK😮🤤,Cassius Clyde Pereira,2026-04-04 03:44:07.909000+00:00,2026-04-04,3,Saturday,0,brainrot,brainrot,0.6674722971792478
Revisiting my Portfolio | Yash Lalwani #shorts #stockmarket #war,Yash Lalwani,2026-04-04 03:43:17.652000+00:00,2026-04-04,3,Saturday,1,brainrot,brainrot,0.9381989386110453
#onepiece #luffy #zoro,HG Sama,2026-04-04 03:43:08.540000+00:00,2026-04-04,3,Saturday,0,brainrot,brainrot,0.8874715301844246
Size Matters? Ft. @Srishtihihihihi,Shreyas Mendiratta,2026-04-04 03:42:40.185000+00:00,2026-04-04,3,Saturday,0,brainrot,brainrot,0.7374334435036813
#minecraft,MINESTORM ( MINECRAFT CREATER ),2026-04-04 03:42:38.948000+00:00,2026-04-04,3,Saturday,0,brainrot,brainrot,0.8664038513556174
Meeting My American Girlfriend’s Parents #shorts #comedy #americavsindia #funny,Spicy Gori,2026-04-04 03:42:05.338000+00:00,2026-04-04,3,Saturday,1,brainrot,brainrot,0.9047695602472743
